kepid,kepoi_name,koi_disposition,koi_score
11869052,K00120.01,FALSE POSITIVE,0.5730
7109675,K00872.01,CONFIRMED,1.0000
7109675,K00872.02,CONFIRMED,1.0000
7118364,K00873.01,CONFIRMED,1.0000
7134976,K00874.01,CONFIRMED,1.0000
7134976,K00874.02,CONFIRMED,0.9970
7135852,K00875.01,CONFIRMED,1.0000
7270230,K00876.01,FALSE POSITIVE,0.0000
7287995,K00877.01,CONFIRMED,1.0000
7287995,K00877.02,CONFIRMED,1.0000
7287995,K00877.03,CONFIRMED,0.9980
3247396,K00121.01,FALSE POSITIVE,0.0000
7303253,K00878.01,CONFIRMED,1.0000
5094751,K00123.01,CONFIRMED,1.0000
7678434,K00892.01,CONFIRMED,1.0000
7678434,K00892.02,CONFIRMED,1.0000
7685981,K00893.01,CONFIRMED,1.0000
7708215,K00894.01,FALSE POSITIVE,0.0000
7373451,K00881.02,CONFIRMED,1.0000
7377033,K00882.01,FALSE POSITIVE,0.0000
7380537,K00883.01,CANDIDATE,0.9970
7434875,K00884.01,CONFIRMED,1.0000
8349582,K00122.01,CONFIRMED,1.0000
7434875,K00884.02,CONFIRMED,0.0000
7434875,K00884.03,CONFIRMED,1.0000
7455287,K00886.01,CONFIRMED,1.0000
7455287,K00886.02,CONFIRMED,1.0000
7455287,K00886.03,CONFIRMED,0.9860
7458762,K00887.01,CONFIRMED,1.0000
7552344,K00888.01,FALSE POSITIVE,0.0000
757450,K00889.01,CONFIRMED,0.9990
7585481,K00890.01,CONFIRMED,1.0000
7663691,K00891.01,CONFIRMED,1.0000
5812701,K00012.01,CONFIRMED,0.6350
8013419,K00901.01,CANDIDATE,1.0000
8018547,K00902.01,CANDIDATE,0.9660
8039892,K00903.01,CONFIRMED,1.0000
8150320,K00904.01,CONFIRMED,1.0000
8150320,K00904.02,CONFIRMED,0.9970
11086270,K00124.01,CONFIRMED,0.4150
7767559,K00895.01,FALSE POSITIVE,0.2280
7825899,K00896.01,CONFIRMED,1.0000
7825899,K00896.02,CONFIRMED,1.0000
7849854,K00897.01,CONFIRMED,1.0000
7870390,K00898.01,CONFIRMED,1.0000
7870390,K00898.02,CONFIRMED,1.0000
5094751,K00123.02,CONFIRMED,1.0000
7870390,K00898.03,CONFIRMED,1.0000
7907423,K00899.01,CONFIRMED,0.9990
7907423,K00899.02,CONFIRMED,0.9990
7907423,K00899.03,CONFIRMED,0.9980
7938496,K00900.01,CONFIRMED,1.0000
8490993,K00911.01,CONFIRMED,1.0000
8490993,K00911.02,CONFIRMED,0.9990
8505670,K00912.01,CONFIRMED,1.0000
8505670,K00912.02,CONFIRMED,1.0000
8544996,K00913.01,CONFIRMED,0.9970
8552202,K00914.01,CANDIDATE,1.0000
8150320,K00904.03,CONFIRMED,1.0000
8150320,K00904.04,CONFIRMED,1.0000
8150320,K00904.05,CONFIRMED,0.9960
8180063,K00905.01,FALSE POSITIVE,0.0000
8226994,K00906.01,CONFIRMED,1.0000
8226994,K00906.02,CONFIRMED,1.0000
8226994,K00906.03,CONFIRMED,0.9570
8247638,K00907.01,CONFIRMED,1.0000
8247638,K00907.02,CONFIRMED,1.0000
8247638,K00907.03,CONFIRMED,1.0000
11086270,K00124.02,CONFIRMED,1.0000
8247638,K00907.04,CONFIRMED,1.0000
8255887,K00908.01,CONFIRMED,1.0000
8256049,K00909.01,FALSE POSITIVE,0.0000
8414716,K00910.01,CONFIRMED,1.0000
9140402,K00928.01,CANDIDATE,1.0000
9141746,K00929.01,CONFIRMED,1.0000
9159275,K00930.01,FALSE POSITIVE,0.0000
9166862,K00931.01,CONFIRMED,0.9990
9166870,K00932.01,FALSE POSITIVE,0.0000
11449844,K00125.01,CONFIRMED,0.9200
8605074,K00915.01,FALSE POSITIVE,0.0000
8628973,K00916.01,CONFIRMED,1.0000
8655354,K00917.01,FALSE POSITIVE,0.0000
8672910,K00918.01,CONFIRMED,0.9960
8686150,K00919.01,FALSE POSITIVE,0.0000
8689031,K00920.01,CONFIRMED,1.0000
8689373,K00921.01,CONFIRMED,1.0000
8689373,K00921.02,CONFIRMED,1.0000
8689373,K00921.03,CONFIRMED,1.0000
8826878,K00922.01,CONFIRMED,1.0000
5897826,K00126.01,FALSE POSITIVE,0.0000
8883593,K00923.01,CONFIRMED,1.0000
8951215,K00924.01,CANDIDATE,1.0000
9016295,K00925.01,FALSE POSITIVE,0.0000
9077124,K00926.01,CONFIRMED,1.0000
9097120,K00927.01,FALSE POSITIVE,0.0000
9466668,K00939.01,CONFIRMED,1.0000
9466668,K00939.02,CONFIRMED,1.0000
9466668,K00939.03,CONFIRMED,1.0000
9466668,K00939.04,CONFIRMED,1.0000
9479273,K00940.01,CONFIRMED,1.0000
8359498,K00127.01,CONFIRMED,0.9990
9171801,K00933.01,FALSE POSITIVE,0.0000
9334289,K00934.01,CONFIRMED,1.0000
9334289,K00934.02,CONFIRMED,0.9980
9334289,K00934.03,CONFIRMED,1.0000
9347899,K00935.01,CONFIRMED,1.0000
9347899,K00935.02,CONFIRMED,1.0000
9347899,K00935.03,CONFIRMED,0.9730
9347899,K00935.04,CANDIDATE,0.9750
9388479,K00936.01,CONFIRMED,0.9530
9388479,K00936.02,CONFIRMED,0.7040
11359879,K00128.01,CONFIRMED,0.9960
9406990,K00937.01,CONFIRMED,1.0000
9415172,K00938.01,CONFIRMED,1.0000
9415172,K00938.02,CONFIRMED,0.9980
9415172,K00938.03,CONFIRMED,0.9490
9904059,K00145.01,FALSE POSITIVE,1.0000
3231341,K01102.02,CONFIRMED,1.0000
3231341,K01102.03,CONFIRMED,1.0000
3231341,K01102.04,CONFIRMED,0.9990
